UF;COMBUSTIVEL;2017;2018;2019;2020;2021;2022.1;2022.2
AM;320101001;0.25;0.25;0.25;0.25;0.25;0.25;0.18
AM;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.18
AM;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.18
AC;320101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
AC;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
AC;820101002;0.17;0.17;0.17;0.17;0.17;0.17;0.17
AP;320101001;0.25;0.25;0.25;0.25;0.25;0.25;0.18
AP;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.18
AP;820101002;0.25;0.25;0.25;0.25;0.25;0.25;0.18
AL;320101001;0.29;0.29;0.29;0.29;0.29;0.29;0.17
AL;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
AL;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.17
BA;320101001;0.28;0.28;0.28;0.28;0.28;0.28;0.17
BA;810101001;0.20;0.20;0.20;0.20;0.20;0.20;0.17
BA;820101002;0.17;0.17;0.17;0.17;0.17;0.17;0.17
CE;320101001;0.29;0.29;0.29;0.29;0.29;0.29;0.18
CE;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.18
CE;820101002;0.17;0.17;0.17;0.17;0.17;0.17;0.18
DF;320101001;0.28;0.28;0.28;0.28;0.28;0.28;0.18
DF;810101001;0.26;0.26;0.26;0.26;0.26;0.26;0.18
DF;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.18
ES;320101001;0.27;0.27;0.27;0.27;0.27;0.27;0.17
ES;810101001;0.27;0.27;0.27;0.27;0.27;0.27;0.17
ES;820101002;0.12;0.12;0.12;0.12;0.12;0.12;0.17
GO;320101001;0.30;0.30;0.30;0.30;0.30;0.30;0.17
GO;810101001;0.22;0.22;0.22;0.22;0.22;0.22;0.17
GO;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.14
MA;320101001;0.28;0.28;0.28;0.28;0.28;0.28;0.17
MA;810101001;0.26;0.26;0.26;0.26;0.26;0.26;0.17
MA;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.17
MG;320101001;0.29;0.29;0.29;0.29;0.29;0.29;0.18
MG;810101001;0.14;0.14;0.14;0.14;0.14;0.14;0.18
MG;820101002;0.15;0.15;0.15;0.15;0.15;0.15;0.18
MS;320101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
MS;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
MS;820101002;0.17;0.17;0.17;0.17;0.17;0.17;0.17
MT;320101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
MT;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
MT;820101002;0.17;0.17;0.17;0.17;0.17;0.17;0.17
PA;320101001;0.28;0.28;0.28;0.28;0.28;0.28;0.17
PA;810101001;0.23;0.23;0.23;0.23;0.23;0.23;0.17
PA;820101002;0.17;0.17;0.17;0.17;0.17;0.17;0.17
PE;320101001;0.29;0.29;0.29;0.29;0.29;0.29;0.18
PE;810101001;0.23;0.25;0.23;0.23;0.23;0.23;0.18
PE;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.18
PI;320101001;0.27;0.27;0.27;0.27;0.27;0.27;0.18
PI;810101001;0.19;0.19;0.19;0.19;0.19;0.19;0.18
PI;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.18
PB;320101001;0.29;0.29;0.29;0.29;0.29;0.29;0.18
PB;810101001;0.23;0.23;0.23;0.23;0.23;0.23;0.18
PB;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.18
PR;320101001;0.29;0.29;0.29;0.29;0.29;0.29;0.18
PR;810101001;0.18;0.18;0.18;0.18;0.18;0.18;0.18
PR;820101002;0.12;0.12;0.12;0.12;0.12;0.12;0.18
RJ;320101001;0.34;0.34;0.34;0.34;0.34;0.34;0.18
RJ;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.18
RJ;820101002;0.16;0.16;0.16;0.16;0.16;0.16;0.18
RN;320101001;0.29;0.29;0.29;0.29;0.29;0.29;0.18
RN;810101001;0.23;0.23;0.23;0.23;0.23;0.23;0.18
RN;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.18
RO;320101001;0.26;0.26;0.26;0.26;0.26;0.26;0.175
RO;810101001;0.26;0.26;0.26;0.26;0.26;0.26;0.175
RO;820101002;0.17;0.17;0.17;0.17;0.17;0.17;0.17
RR;320101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
RR;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
RR;820101002;0.17;0.17;0.17;0.17;0.17;0.17;0.17
RS;320101001;0.30;0.30;0.30;0.30;0.30;0.30;0.17
RS;810101001;0.30;0.30;0.30;0.30;0.30;0.30;0.17
RS;820101002;0.12;0.12;0.12;0.12;0.12;0.12;0.17
SC;320101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
SC;810101001;0.25;0.25;0.25;0.25;0.25;0.25;0.17
SC;820101002;0.12;0.12;0.12;0.12;0.12;0.12;0.17
SP;320101001;0.25;0.25;0.25;0.25;0.25;0.25;0.18
SP;810101001;0.12;0.12;0.12;0.12;0.12;0.12;0.18
SP;820101002;0.12;0.12;0.12;0.12;0.12;0.12;0.18
SE;320101001;0.29;0.29;0.29;0.29;0.29;0.29;0.18
SE;810101001;0.27;0.27;0.27;0.27;0.27;0.27;0.18
SE;820101002;0.18;0.18;0.18;0.18;0.18;0.18;0.18
TO;320101001;0.29;0.29;0.29;0.29;0.29;0.29;0.18
TO;810101001;0.29;0.29;0.29;0.29;0.29;0.29;0.18
TO;820101002;0.145;0.145;0.145;0.145;0.145;0.145;0.18
